Affleck, Ben
Tashlin, Frank
Tati, Jacques
Taurog, Norman
Tornatore, Giuseppe
Toro, Guillermo del
Tourneur, Maurice
Trauberg, Leonid
Trier, Lars von
Truffaut, François
Ulmer, Edgar G.
Vadim, Roger
Verhoeven, Paul
Vertov, Dziga
Vidor, King
Vigo, Jean
Villeneuve, Denis
Visconti, Luchino
Wachowskis, The
Wajda, Andrzej
Walsh, Raoul
Warhol, Andy
Waters, John
Watkins, Peter
Weber, Lois
Weerasethakul, Apichatpong
Weir, Peter
Welles, Orson
Wellman, William A.
Wenders, Wim
Whale, James
Wilder, Billy
Williamson, James
Wise, Robert
Wiseman, Frederick
Woo, John
Wood, Sam
Wyler, William
Yamanaka, Sadao
Yang, Edward
Zemeckis, Robert
Zhangke, Jia
Zhao, Chloé
Zinnemann, Fred
